Id,Label,Wider Location,Encompassing Location,Continent,LocationScore
3127,Nottingham,Nottinghamshire,England,Europe,3
3128,Oxford,Oxfordshire,England,Europe,3
3129,Ratcliffe,Middlesex (?),England,Europe,3
3130,Romford,Essex,England,Europe,3
3131,Salisbury,Wiltshire,England,Europe,3
3132,Tottenham,Middlesex,England,Europe,3
3133,Ware,Hertfordshire,England,Europe,3
3134,Winchester,Hampshire,England,Europe,3
3135,Worcester,Worcestershire,England,Europe,3
3136,Yarmouth,Isle of Wight,England,Europe,3
3201,Cambridge University,Cambridge,England,Europe,3
3202,Cokes's house,Harrow on the Hill,England,Europe,3
3203,Countess of Pembroke's circle at Wilton 'college',Wilton,England,Europe,3
3204,Cuckold's Haven,Surrey,England,Europe,3
3205,East Anglian Fens,East Anglia,England,Europe,3
3206,Farm in Holloway,Holloway,England,Europe,3
3207,Gertrude's land,Country spaces,England,Europe,3
3208,Gertrude's land estate,Country spaces,England,Europe,3
3209,Gravesend,Kent,England,Europe,3
3210,Highgate Green,Highgate,England,Europe,3
3211,House in Holloway,Holloway,England,Europe,3
3212,Kent Hopyards,Kent,England,Europe,3
3213,La Foole's land,Country spaces,England,Europe,3
3214,Land owned by others,Country spaces,England,Europe,3
3215,Marshland north of London,Near London,England,Europe,3
3216,Moorfields,Near London,England,Europe,3
3217,Oxford University,Oxford,England,Europe,3
3218,Peak Cavern,Derbyshire,England,Europe,3
3219,Pimlico Path house,Hoxton,England,Europe,3
3220,Tavern in Highgate,Highgate,England,Europe,3
3221,The Cellar Pub,Highgate,England,Europe,3
3222,Three Pigeons tavern,Brentford,England,Europe,3
3223,Town on the south-east of England,South-East England,England,Europe,3
3224,Uxbridge Fair,Middlesex,England,Europe,3
3225,Weeping Cross,"Banbury, Stafford, Shrewsbury",England,Europe,3
3226,Woodstock,Oxfordshire,England,Europe,3
3227,Worcester jail,Worcester,England,Europe,3
4001,Austria,-,Austria,Europe,4
4002,Belgium,-,Belgium,Europe,4
4003,Cyprus,-,Cyprus,Europe,4
4004,England,-,England,Europe,4
4005,France,-,France,Europe,4
4006,Germany,-,Germany,Europe,4
4007,Great Britain,-,Great Britain,Europe,4
4008,Greece,-,Greece,Europe,4
4009,Ireland,-,Ireland,Europe,4
4010,Italy,-,Italy,Europe,4
4011,Low Countries,-,Low Countries,Europe,4
4012,Moldavia,-,Moldavia,Europe,4
4013,Netherlands,-,Netherlands,Europe,4
4014,Portugal,-,Portugal,Europe,4
4015,Russia,-,Russia,Europe,4
4016,Scotland,-,Scotland,Europe,4
4017,Spain,-,Spain,Europe,4
4018,Switzerland,-,Switzerland,Europe,4
4019,United Kingdom,-,United Kingdom,Europe,4
4020,Wales,-,Wales,Europe,4
4101,Amsterdam,-,Netherlands,Europe,4
4102,Athens,-,Greece,Europe,4
4103,Bordeaux,-,France,Europe,4
4104,Braganza,-,Porgugal,Europe,4
4105,Cadiz,-,Spain,Europe,4
4106,Calais,-,France,Europe,4
4107,Coast of France,-,France,Europe,4
4108,Flanders,-,Belgium,Europe,4
4109,Florence,-,Italy,Europe,4
4110,French court,-,France,Europe,4
4111,Galicia,-,Spain,Europe,4
4112,Heidelberg,-,Germany,Europe,4
4113,Lyon,-,France,Europe,4
4114,Madrid,-,Spain,Europe,4
4115,Monmouth,-,Wales,Europe,4
4116,Muscovy region,-,Russia,Europe,4
4117,Rome,-,Italy,Europe,4
4118,Southern France,-,France,Europe,4
4119,Spanish court,-,Spain,Europe,4
4120,Troy,-,Greece,Europe,4
4121,Westphalia,-,Germany,Europe,4
4201,Cape Finisterre,Galicia,Spain,Europe,4
4202,Mount Helicon,Thespiai,Greece,Europe,4
4203,Temple of Diana,Rome,Italy,Europe,4
5001,Africa,-,-,Africa,5
5002,Arabia,-,-,Arabia,5
5003,Asia,-,-,Asia,5
5004,Asia Minor,-,-,Asia,5
5005,Barbary Coast,-,Maghreb and Ottoman boarderlands,Ottoman Empire,5
5006,Below the equator,-,-,Below Equator,5
5007,Bermuda,-,-,North America,5
5008,British Commonwealth,,,British Commonwealth,5
5009,Caucasus Region,-,-,Eastern Europe/Western Asia,5
5010,East Indies,-,-,Asia,5
5011,East or West Indies,-,-,Asia,5
5012,Europe,-,-,Europe,5
5013,Egypt,-,Egypt,Europe,5
5014,Egypt; Sudan,-,-,Africa,5
5015,Greenland,-,-,Below Equator,5
5016,India,-,-,Asia,5
5017,Israel/Palestine,-,-,Asia,5
5018,Java,-,-,Asia,5
5019,Mesopotamia,-,-,Asia,5
5020,North America,-,-,North America,5
5021,Persia,-,-,Asia,5
5022,Peru,-,-,Asia,5
5023,Turkey,-,-,Eastern Europe/Western Asia,5
5101,Abydos,-,Turkey,Eastern Europe/Western Asia,5
5102,Africa coast,-,-,Africa,5
5103,Babylon,-,Mesopotamia,Asia,5
5104,Bantam,-,Java,Asia,5
5105,Canaan,-,Palestine,Asia,5
5106,Caucasus Mountain,-,Caucasus Region,Eastern Europe/Western Asia,5
5107,Colony of Bermuda,-,Bermuda,North America,5
5108,Constantinople,-,Byzantium Empire,Eastern Europe/Western Asia,5
5109,Jerusalem,-,Israel,Asia,5
5110,Maghreb and Ottoman boarderlands,-,Maghreb and Ottoman boarderlands,Ottoman Empire,5
5111,Nile River,-,Egypt,Africa,5
5112,Ophir,-,Persia,Asia,5
5113,Persian Gulf,-,Persia,Asia,5
